Nome,Settore,Città,Email,Telefono,Sito,Rating,Reviews
"ENOTECA LM - Enoteca Milano, Enoteca, Aperitivo Milano, Vino, Mescita, tignanello, sassicaia, wine bar","enoteche","Milano","","+39 02 5518 4810","http://www.linomarket.it","4.7","128"
"La Manierina Milano","enoteche","Milano","","+39 351 935 4879","http://www.lamanierinamilano.it","4.9","131"
"Enoteca Bernabei Trastevere","enoteche","Milano","business@bernabei.it","+39 06 588 2626","https://www.bernabei.it","4","465"
"Goccetto - Enoteca con Degustazione a Milano","enoteche","Milano","","+39 02 4940 6176","https://instagram.com/goccettomilano%3Figshid%3DMzRlODBiNWFlZA%3D%3D","4.9","86"
"Enoteca El Vinatt dal 1964","enoteche","Milano","info@elvinatt.it","+39 02 471226","https://www.elvinatt.it","4.7","374"
"Bar tabacchi Milano","enoteche","Milano","","+39 06 6830 9486","","3.9","143"
"EnotecaWine","enoteche","Milano","","+39 02 3651 4771","http://www.enotecawine.it","4.7","98"
"Enoteca Don Pietro","enoteche","Milano","","+39 338 682 8287","","4.6","147"
"Enoteca Wine Living","enoteche","Milano","","+39 393 824 1753","https://www.winelivingitalia.it/enoteca-milano","4.8","61"
"Enoteca perBacco Vino Sfuso di Adriano Franzolin Milano","enoteche","Milano","","+39 02 7428 1110","http://www.perbaccomilano.it","4.9","172"
"Primo | Enoteca Milano - Bar Serale","enoteche","Milano","","+39 338 447 0312","","4.6","133"
"Bottega dell'Arte del Vino","enoteche","Milano","bottega@arte-del-vino.it","+39 02 669 7596","http://www.bottegadellartedelvino.it","4.8","85"
"Cantine a Milano Mi-Cant","enoteche","Milano","","+39 02 4554 5389","http://www.mi-cant.com","4.8","25"
"Dal 1939 Enoteca Liquoreria VINICOLA ROTONDI. Vendita vini e distillati. Liquor store a Milano","enoteche","Milano","","+39 02 668 4293","http://vinicolarotondi.it","4.6","324"
"Enocentrico","enoteche","Milano","","+39 02 3598 2672","https://app.enoweb.com/carte/enocentrico/1744/it","4.8","392"
"Enoteca Ricciardi","enoteche","Milano","","+39 02 8940 2627","http://www.enoteca-ricciardi.it","4.6","190"
"Eno club","enoteche","Milano","","+39 02 5518 2421","http://www.enoclubmilano.com","4.8","470"
"el gian enoteca","enoteche","Milano","","+39 02 8089 7319","https://elgianenotecamilano.it","4.9","34"
"A&Co Enoteca Milano","enoteche","Milano","info@aandco.it","+39 02 9286 9500","http://www.aandco.it","4.8","97"
"Enoteca Ombre Rosse - Wine Bar","enoteche","Milano","","+39 02 7423 5447","https://www.ombrerossemilano.it","4.4","200"
"N'Ombra de Vin","enoteche","Milano","info@nombradevin.it","+39 02 659 9650","https://www.nombradevin.it","4","2099"
"Vini & Sapori Enoteca","enoteche","Milano","enoteca@vini-sapori.it","+39 02 2940 5407","https://www.vini-sapori.it","4.6","152"
