Nome,Settore,Città,Email,Telefono,Sito,Rating,Reviews
"Mila Osteria Contemporanea","ristoranti","Milano","","+39 06 6821 3218","https://www.milaosteriacontemporanea.it","4.4","68"
"Gloria Osteria Milano","ristoranti","Milano","","+39 344 073 9345","https://gloria-osteria.com/it/gloria-osteria-milano%3Futm_source%3Dgoogle%26utm_medium%3Dorganic%26utm_campaign%3Dmybusiness-website","4.8","10219"
"Via Pasteria","ristoranti","Milano","info@viapasteria.com","+39 02 8905 3384","http://www.viapasteria.com","4.7","7282"
"Via Pasteria - Daniele Crespi","ristoranti","Milano","info@viapasteria.com","+39 02 8281 6983","https://viapasteria.com","4.8","6171"
"Osteria De Milan","ristoranti","Milano","","+39 339 487 3343","https://www.osteriademilan.it/menu","4.6","495"
"Osteria italiana","ristoranti","Milano","info@osteriaitaliana.eu","+39 02 670 4188","http://www.osteriaitaliana.eu","4.1","4165"
"Milano Bistrot","ristoranti","Milano","info@milanobistrot.it","+39 02 4953 2817","https://www.milanobistrot.it","4.6","379"
"L'immagine Bistrot Ristorante","ristoranti","Milano","limmaginebistrot@gmail.com","+39 02 3926 4564","http://www.limmaginebistrot.com","4.8","3018"
"Cantine MILANO - WINE & RESTAURANT","ristoranti","Milano","reservation@cantinemilano.it","+39 02 6680 2819","http://www.cantinemilano.com","4.6","1672"
"Ristorante San Carlo","ristoranti","Milano","info@sancarloaldue.com","+39 02 3792 0389","https://sancarloaldue.com","4.5","459"
