Nome,Settore,Città,Email,Telefono,Sito,Rating,Reviews
"Pasticceria Spezia","pasticcerie","Milano","pasticceriaspezia@gmail.com","+39 02 8950 4994","http://www.pasticceriaspezia.it","4.5","742"
"Pasticceria Lorìa Boutique","pasticcerie","Milano","","+39 02 3650 4481","http://pasticcerialoria.it","4.6","532"
"Pasticceria DaMa Milano","pasticcerie","Milano","","+39 375 599 5465","https://www.instagram.com/pasticceria.dama/%3Fhl%3Dit","4.9","255"
"Pasticceria Castelnuovo","pasticcerie","Milano","info@pasticceriacastelnuovo.it","+39 02 4895 0168","http://www.pasticceriacastelnuovo.it","4.6","1609"
"Migliavacca","pasticcerie","Milano","migliavacca1958@gmail.com","+39 02 713653","http://pasticceriamigliavacca.com","4.4","588"
"Pasticceria Fantasia","pasticcerie","Milano","","+39 02 3926 4544","","4.8","651"
"Pasticceria Rovida","pasticcerie","Milano","info@pasticceriarovida.it","+39 02 2953 1782","https://www.pasticceriarovida.it","4.5","907"
"Pasticceria Martesana Milano Cagliero","pasticcerie","Milano","info@martesanamilano.com","+39 02 6698 6634","http://www.martesanamilano.com","4.2","3235"
"#IDolciNamura APRTI","pasticcerie","Milano","info@idolcinamura.com","+39 02 3453 4176","http://www.idolcinamura.com","4.5","380"
"Pasticceria Martesana Milano Porta Romana","pasticcerie","Milano","info@martesanamilano.com","+39 02 6698 6634","http://www.martesanamilano.com","4.1","439"
"Princi","pasticcerie","Milano","","+39 02 874797","https://www.princi.it","4.2","4787"
"Fonte del Dolce","pasticcerie","Milano","info@fontedeldolce.it","+39 02 539 2937","http://www.fontedeldolce.it","4.5","856"
"Pasticceria Brambilla Milano","pasticcerie","Milano","","+39 02 3595 3431","","4.5","46"
"Pasticceria Venezia","pasticcerie","Milano","","+39 02 204 9173","","4.6","90"
"Gobbato Bakery","pasticcerie","Milano","","+39 02 5521 2829","http://www.gobbatobakery.it","4.6","1160"
"Pasticceria Adolfo Stefanelli","pasticcerie","Milano","adolfo@adolfostefanelli.it","+39 02 3679 9016","http://www.adolfostefanelli.it","4.6","417"
"L'Ile Douce Milano","pasticcerie","Milano","","+39 02 4978 0658","https://www.iledoucemilano.it","4.2","1061"
"Pasticceria luca Milano","pasticcerie","Milano","pasticceria.luca.milano@gmail.com","+39 02 469 2585","http://www.lucapasticceria.it","4.6","334"
"Marchesi 1824","pasticcerie","Milano","","+39 02 9418 1710","https://www.marchesi1824.com/eu/it.html","4.2","2999"
"Pasticceria San Gregorio | Panettoni Artigianali a Milano","pasticcerie","Milano","","+39 331 451 9123","http://www.pasticceriasangregorio.it","3.4","1150"
"Pasticceria Angela Milano","pasticcerie","Milano","angelapasticceria@yahoo.com","+39 02 342859","https://www.pasticceriaangelamilano.com","4.4","431"
"Pasticceria Elli","pasticcerie","Milano","","+39 02 4800 4788","","4.2","142"
"Pasticceria Navotti Senza Glutine Milano","pasticcerie","Milano","navotti.pasticceria@libero.it","+39 02 2940 1244","http://www.pasticcerianavottisenzaglutine.com","4.6","265"
"Bar Pasticceria siciliana Milano - Antica Sicilia","pasticcerie","Milano","","+39 351 866 9222","https://antica-sicilia.it","4.3","1639"
"Pasticceria Ranieri di Bizzarri Roberto","pasticcerie","Milano","","+39 02 659 5403","","4.7","73"
"Marchesi 1824","pasticcerie","Milano","","+39 02 862770","https://www.marchesi1824.com/eu/it.html","4.3","1235"
"Marotin","pasticcerie","Milano","info@marotinmilano.it","+39 02 3105 8562","http://marotinmilano.it","3.9","405"
"Sbriciolami - Se la vita è amara, tu mangia un dolce","pasticcerie","Milano","info@sbriciolami.com","+39 344 412 5887","https://www.sbriciolami.com","5","92"
"Pasticceria Ranieri Moscova 7","pasticcerie","Milano","ranieri.mi@libero.it","+39 02 659 5308","http://www.pasticceriaranieri.it","4.6","295"
"Pasticceria bistrot Tur de Milan","pasticcerie","Milano","","+39 02 8645 4034","https://www.facebook.com/turdemilan","3.4","131"
"Pasticceria Martesana Milano Sarpi","pasticcerie","Milano","info@martesanamilano.com","+39 02 6698 6634","http://www.martesanamilano.com","4.2","1079"
"Pasticceria Adolfo Stefanelli","pasticcerie","Milano","adolfo@adolfostefanelli.it","+39 02 3679 9016","http://www.adolfostefanelli.it","4.5","1005"
"Knam","pasticcerie","Milano","","+39 02 5519 4448","https://www.eknam.com","4.4","1959"
"Marlà Pasticceria","pasticcerie","Milano","info@marlapasticceria.it","+39 02 3653 6410","https://www.marlapasticceria.it","4.3","1361"
"Polenghi Angelo","pasticcerie","Milano","","+39 02 5518 5013","","4.8","142"
"Galdina Pasticceria","pasticcerie","Milano","","+39 02 8907 3280","http://www.galdina.com","4.8","12"
"Italian Bakery","pasticcerie","Milano","","+39 351 615 7453","https://m.facebook.com/italianbakerymilano","4.6","134"
"Pasticceria Michelangelo","pasticcerie","Milano","","+39 02 730300","","4.5","75"
"PASTICCERIA FONTANA E FONTANA","pasticcerie","Milano","","+39 02 4895 1466","","4.8","86"
"Pasticceria Nepà 100% plant-based","pasticcerie","Milano","info@pasticcerianepa.it","+39 02 4979 3422","https://pasticcerianepa.it","4.6","1059"
"Pasticceria Martesana Mercato Centrale","pasticcerie","Milano","info@martesanamilano.com","","https://www.martesanamilano.com/le-pasticcerie","3.8","64"
"Pasticceria Martesana Milano Sant'Agostino","pasticcerie","Milano","info@martesanamilano.com","+39 02 4776 0201","http://www.martesanamilano.com","4.1","531"
