Nome,Settore,Città,Email,Telefono,Sito,Rating,Reviews
"Venchi Cioccolato e Gelato, Roma Via degli Orfani, Pantheon","gelaterie","Milano","","+39 06 6992 5423","https://it.venchi.com","4.8","10764"
"Venchi Cioccolato e Gelato Via del Corso","gelaterie","Milano","","+39 06 678 4698","https://it.venchi.com","4.7","19082"
"Venchi Cioccolato e Gelato, Roma Via della Croce, Piazza di Spagna","gelaterie","Milano","","+39 06 6979 7790","https://it.venchi.com","4.8","10020"
"Venchi Cioccolato e Gelato, Roma Stazione Termini","gelaterie","Milano","","+39 06 4891 3752","http://www.venchi.com/it/negozi/roma-termini","4.7","3900"
"Terra Gelato Santa Maria Maggiore","gelaterie","Milano","info@terragelato.it","+39 06 4566 6656","https://terragelato.it","4.7","644"
"Cremeria Monteforte","gelaterie","Milano","","+39 06 686 7720","https://www.facebook.com/Cremeria-Monteforte-346478612094186","4.6","543"
"Gelateria Fassi - Gelato artigianale a Roma dal 1880","gelaterie","Milano","","+39 06 446 4740","http://www.gelateriafassi.com","4.6","10942"
"Gelateria La Romana dal 1947","gelaterie","Milano","romana-romacoladirienzo@gelateriaromana.com","+39 06 3260 9251","https://www.gelateriaromana.com/44-gelateria-roma.php","4.7","10296"
"Venchi Cioccolato e Gelato, Milano Stazione Centrale (Fronte Binario)","gelaterie","Milano","","+39 02 6698 8777","https://it.venchi.com","4.8","3025"
"Gelateria Valentino","gelaterie","Milano","","+39 06 678 3219","","4.7","2130"
"Ciacco","gelaterie","Milano","info@ciaccolab.it","+39 02 3966 3592","https://www.ciaccolab.it","4.6","4345"
"Guttilla Alta Gelateria Italiana - PRATI","gelaterie","Milano","","+39 06 6600 6209","http://guttilla.it","4.6","2249"
"Cioccolatitaliani","gelaterie","Milano","","+39 02 8909 3820","https://www.cioccolatitaliani.it","4.4","9528"
"VERO ~ Gelateria Cremeria","gelaterie","Milano","","+39 02 3944 7388","http://www.verogelateria.com","4.7","2972"
"Gelateria LAB","gelaterie","Milano","","+39 02 3594 4739","","4.9","787"
"Guttilla Alta Gelateria Italiana Roma","gelaterie","Milano","","+39 06 4425 8070","http://www.guttilla.it","4.5","5152"
"La Gourmandise","gelaterie","Milano","","+39 06 9603 9081","","4.5","961"
"CREMA Alta Gelateria","gelaterie","Milano","","+39 06 6880 5851","https://gelatocrema.com","4.6","111"
"Chocolat Milano","gelaterie","Milano","","+39 02 3675 7819","https://www.chocolatmilano.it/it","4.5","3826"
"Avgvsto Premiata Gelateria","gelaterie","Milano","","+39 02 3656 2772","","4.7","1051"
"Otaleg Trastevere","gelaterie","Milano","info@otaleg.com","+39 338 651 5450","http://www.otaleg.com","4.4","3328"
"Al Settimo Gelo","gelaterie","Milano","info@alsettimogelo.it","+39 06 372 5567","http://www.alsettimogelo.it","4.4","644"
"Il Massimo del Gelato","gelaterie","Milano","","+39 02 349 4943","http://ilmassimodelgelato.it","4.6","3528"
"Pico Gelato - Parioli","gelaterie","Milano","info@picogelato.it","+39 06 8007 1845","http://www.picogelato.it","4.5","99"
"Pico Gelato - Balduina","gelaterie","Milano","info@picogelato.it","+39 06 8983 1355","http://www.picogelato.it","4.5","134"
"Freddo Gelato","gelaterie","Milano","info@freddogelato.it","+39 06 7049 5437","https://www.freddogelato.it/%3Futm_source%3Dgooglemaps%26utm_campaign%3DLocal%26utm_medium%3Dorganic%26utm_content%3Dlink_home_gmaps","4.3","1104"
"Gelateria del Pantheon","gelaterie","Milano","","+39 06 2780 0559","","1.2","2134"
"GROM","gelaterie","Milano","","+39 06 488 5431","https://www.gromgelato.com/it/it/home.html%3Futm_source%3Dgoogle%26utm_medium%3DGMBSitelink%26utm_campaign%3DGMBSitelink_Roma_30_Termini","4.6","740"
"Verde Pistacchio","gelaterie","Milano","ask@verdepistacchiolab.it","+39 335 744 9991","http://verdepistacchiolab.it","4.7","616"
"Pico Gelato - Flaminio","gelaterie","Milano","info@picogelato.it","+39 06 8923 7127","http://www.picogelato.it","4.5","273"
"Gelato Giusto","gelaterie","Milano","","+39 02 2951 0284","http://www.gelatogiusto.it","4.5","1214"
"Gelateria Concordia Milano","gelaterie","Milano","","+39 02 7639 0929","","4.5","1251"
"Terra","gelaterie","Milano","info@terragelato.it","+39 02 9194 8458","http://www.terragelato.it","4.6","2921"
"Gelateria Paganelli","gelaterie","Milano","","+39 02 4244 1183","","4.6","762"
"Dassie Gelato - Milano","gelaterie","Milano","info@dassiegelato.com","+39 02 4936 9944","http://www.dassiegelato.com","4.7","385"
"Fatamorgana Nemorense","gelaterie","Milano","","+39 06 8639 1589","http://www.gelateriafatamorgana.it","4.4","1048"
"Gelateria Solferino","gelaterie","Milano","","+39 02 659 2098","","4.6","330"
"Gelateria Momenti - Via California, Milano","gelaterie","Milano","info@gelateriamomenti.it","+39 02 8276 5120","https://www.gelateriamomenti.it","4.8","166"
"Gelateria Umberto 1934 Milano","gelaterie","Milano","gelateriaumberto@umberto1934.com","+39 348 233 8647","https://www.umberto1934.com","4.5","774"
